date,run_id,item_id,vertical,source_id,stage,outcome,code,source_words,summary_words,source_words_before_cap,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens
2026-09-01,2026-09-01-33484160918,world-0001558743,world,anadolu-world,publish,ok,,274,69,274,3665,93,95788,48117,47622,1392,266,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-3860039566,world,mongabay,publish,ok,,1993,120,1993,382,39,329742,273963,55655,3586,300,923,,,,,,,
2026-09-01,2026-09-01-33484160918,world-3517975664,world,bbc-world,publish,ok,,687,73,687,255,59,138475,96905,41560,1869,233,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-1397912574,world,apnews-world,publish,ok,,575,62,575,183,225,130322,95566,34702,1854,193,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-4459524738,world,france24,publish,ok,,71,40,71,1091,53,40158,14700,25394,1064,147,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-1417479652,world,conversation-world,publish,ok,,334,55,334,413,26,85763,50654,35099,1417,201,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-1494065737,world,npr-world,publish,ok,,722,107,722,1147,32,160072,108131,51834,1982,287,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-5191425089,india,thehindu-all,publish,ok,,270,79,270,585,43,94472,48778,45684,1400,257,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-5986991765,india,economic-times,publish,ok,,489,67,489,412,79,150062,89906,60145,1803,334,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-3185470989,india,free-press-journal,publish,ok,,355,75,355,514,19,95967,51630,44249,1428,252,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-9539470926,india,thehindu-business,publish,ok,,758,100,758,1344,37,203636,142641,60888,2318,332,923,,,,,,,
